account_id,amount,memo
Z59rrgG6SkYdSKpP4NLE2b47Lu1oVQexbMtvSRkiSZsGi2i,294321235.878135,"Binance/ Participants address is 1xhXb5ZjsKpN1xcvTNMuThndfb1WP9saLKMpNxofGm64U2X, but we need to update"
YiHKZLWnVNcidHJcFgSAN62jfKcq56Cra4MLy9XfgndYW3s,709.243054,
WJhmjdVLW5f19YDRzNLJcLKpkgFLpuBgG3Dx2CV5ynSR65q,513.134301,
bc1zunsVZ6Ms4Ave394vTvx1txCk5c4nvPAFQrqLsiBZJVF,523.396987,
bNaBF6WXkvwRADjxFXz4HY81W7gCQ4H7EmMUhu3mMs52hXA,2873.552084,
XSMtP2akcYRvTQNQ2Bxcuc43T7fKX2zkqt5Cvf2YLdgeXVm,2235.436557,
aFYVW3xrqq4Wm4YBpAaRA3wFCuUHmDr9KnFA564sQbUvYkP,1026.268602,
ZhB759SHP6tMcvYZQk37zo4WAR59zc5GH2yBHsSRC1xTHJs,1169.632776,
WGxZ746ebP3dHpNo5Sn9xbsmpXY8qfQTCqerJ2Yqkx9iSqk,2565.671503,
a2S3XoUrrbooHEFEXZKFyfCAE2VbB5aDmAmJgT4GnGDNypR,508.053763,
ayNohXYtrgePkpemGJzSsr72eKBGyDjaHiqedsEcgLVB6xp,2461.012428,
WqwvHTCjyFHLfJh6gbA9NLA59enAU3ZNqtps578YHTFzJAD,3048.322578,
YrLZcpGqKb8HAu83Ejgap3xyVoxBoSc4WyBZENMQ9hvFFZM,205253.720223,
akBnpdUou8TJv8GxpR5fSLctJxeb5A46KvRTBALYmtXrE9r,508.053763,
ZZxzJVCdzMxK5s7CkcgVvm7deTnuFzMnpWgEV7f22arb2Yf,8199.987734,
YMSfzfnxRjcaQfokqyegWypPzrdrkPfy5psnZoUCXqg1WnU,8610.495175,
Yd1wu7u8ZJLmgtUpTaV2gnqagTgodFQ7Aa8PnwHmN2wXD5n,410507.440445,
YvksuhfSf8YUuhLHuyrn4AVktPQNBg48vNEiKtgcYiJLnk5,513.134301,
WdvGGxsvLQTMR4NpcoYAB6K7Ah7VSeB9pQcL2vXAYaRPBBM,9188.660357,
XD15oDWqe7FeEHtenmYD5Z3MxGVVQM1brgeB7EYbxQPvcLL,34327.116115,
bA857ZfgB7eh6rECLojuaByoUQJWUvS2eqZ3axf85SHap8L,10262.686012,
VzNnmr3W2Kbym77uUyqV1EWwAKPYJZxmdZuJ5SZhudfJenG,513.134301,
b27U39aqsK1F9dSo6JZfqggekniVhAx4HdrWVfALC5GL27a,2052.537203,
XvuufRv6x2idBL2XC4PSUq2Lhe7epn3v7JaNX5M7Q2dvqsE,1026.268602,
YDNmMcDmVvz7kzDWk7tLz82DLRDHvs8Udafks1tTfcRjQyR,1066.912903,
ZjhgMtiTHGchMgRM3JwzJaYdyaEWW2Xb5JbbHfSyX4QWiSW,762.080645,
bNcKXWYSVgiQoraaA8JUbLE8G1UeLQsAVGXemJpkizHUHnf,2032.215052,
ZEjMpFp4ccJy8B9pTpJh8UjiQAGr4Ay8xwV8mR1YCS36hve,10262.686012,
ZseA1UiTJyrCdBK23FiJP1rCLW9i6zVyzuWzhMdtxhm67HE,7697.014509,
XCjvEnycBLqWfF1jUCZK15TpTFkYuttjHQ92HuF2frmfhL7,513.134301,
YaZcgDL3SYbc3XqjcipUh6KWWHYmJoU5Ebty1yVezxkN85Y,1016.107526,
bBmWxugV2UBaKG1XZ8sLHE6ke3tMhW747CpKdh9FYQd1RZC,1016.107526,
X836wjJ2cPB1AaHcjVXZCt7Lpju5Z1fDU2KVjw2fbZRpp5j,31463.769539,
XwUj5EUFjyCuKBw5JbBNvRCGqsNFVj69hfL5gvrXfAxYcVj,1016.107526,
YReAT5s9nT1BUq1nMC7oSC7iXe78fNmNFqRdHXgCXQyhEw7,2873.552084,
X2sSE8LJSmrCEDH9ho94jNpT92RgKdhtFDJ5fJhLcTHp1Kw,513.134301,
Z1ngmJbUbs1frmqn6rsjjooXg8Jrh9RnSeKNs1kzSeMXZ3D,2032.215052,
ZhzAdCaiyMqzVPcKPDoRRC2NnmG8ouTWfDwQssoMkJ3sGH4,1939.647657,
bNWbGpZ6NzfxQXgtuRkzM6g7CtnXmFiWd62mxUa6xNJpjp5,508.053763,
bLe68tLwxJmPuBSVHXnuNHpf6ZHFAyyDEztJh2r7tewSQV5,508.053763,
WuE3NgiwpHGHSiL4SFgXZUzyc2vU8ypBPiHupDo7Ae3To5B,40508.053763,
YSdFAQaSHC6FpfY8A4co1VmnLJ8WEQKFM6e4YeeLLzuap2u,45115.174148,
XX76sJssmpZqXK76o6m2WapwZuhSaWuoPJJw6nnrGRbF94v,5131.343006,
Wzkm1rqRTGS6cdk6iB5KbiWDCfiCEQHnf1eidGoZ7pj8PXr,538.536989,
ZNqEVC2DUk1g6KeD873jowqiQSdkVBqwNiKb998xMb5DaKW,1318.467991,
absYt24vfLe1w6Mu3jHrRpkTALngrURJBXygaYKn44VXwrg,1436.776042,
